"cs_concentration","is_concentration","description","course_id","term","name","prereqs","number","subject"
"None","Database Administration","Survey of information security management as it applies to information systems analysis, design, and operations. Managing information assets and the security infrastructure. Emphasis on managing security-related risk, as well as the process of developing, implementing, and maintaining organizational policies, standards, procedures, and guidelines. Identifying and evaluating information assets, threats, and vulnerabilities. Quantitative and qualitative risk analysis, risk mitigation, residual risk, and risk treatment as they relate to information security. Topics include information security vulnerabilities, threats, and risk management; security policies and standards; security audits; access controls; network perimeter protection, data protection; physical security; security education training and awareness. Introduction to compliance, as well as the CISSP domains. ","30453","Fall","Information Security Management","None","440","CNS"
"None","Database Administration","A 11-week certificate program covering the Apache Hadoop framework and how it fits with Big Data. This program requires a separate application for admission and $40 application fee. Please visit IPD.CDM.DEPAUL.EDU for information on how to enroll.","30454","Spring","Big Data Using Hadoop Program","Instructor Consent","447","IPD"
"None","Database Administration","A 11-week certificate program covering popular NoSQL databases and how they fit with Big Data. This program requires a separate application for admission and $40 application fee. Please visit IPD.CDM.DEPAUL.EDU for information on how to enroll.","30455","Spring","Big Data and NoSQL Program","Instructor Consent","451","IPD"
"None","Database Administration","An 11-week in-depth certificate program covering Microsoft SQL Server analysis services, integration services, and reporting services. This program requires a separate application for admission and $40 application fee. Please visit IPD.CDM.DEPAUL.EDU for information on how to enroll.","30456","Winter","SQL Server Business Intelligence Program","Instructor Consent","460","IPD"
"None","Database Administration","An 11-week certificate program covering database administration using Microsoft SQL Server. This program requires a separate application for admission and a $40 application fee. Please visit IPD.CDM.DEPAUL.EDU for information on how to enroll.","30457","Fall","SQL Server Database Administration Program","Instructor Consent","463","IPD"
"None","Database Administration","This course surveys system design concepts, techniques, and algorithms in Machine to Machine (M2M), Internet of Things (IoT), and Internet of Everything (IoE). Topics covered include system architecture for big data, sensors and embedded technologies, IoT architecture, consumer vs. industrial IoT, wearable and mobile systems, tracking systems, IoT and big data analytics, market dynamics and entrepreneurial opportunities. Special emphasis is placed on identifying best practices in using big data and IoT through case studies and hands-on exercises. ","30458","Fall","Big Data and the Internet of Things","None","452","IS"
"None","Database Administration","This course focuses on the knowledge necessary for an organization to prepare for a variety of major disruptions (floods, earthquakes, terrorist attacks, etc.). The goal is survival of the organization and its daily workflow despite major disruption. Students learn to analyze and prioritize risks and determine criticality ratings that are used to determine survival strategies. Students also learn how to organize employees to respond to a major disruption and how to document recovery plans. Course content includes coverage of current industry trends, as well as planning for the survival of Information Technology functions within an organization.","30459","Winter","Business Continuity/Disaster Recovery Theories and Strategies","None","505","IS"
"None","Database Administration","Cloud concepts, architecture, and service management, with particular emphasis upon identifying and analyzing potential business applications of cloud computing. Students will conduct feasibility studies, detailing the advantages and disadvantages of implementing a cloud computing platform for specific applications, with particular emphasis upon financial considerations, business benefits, and security risks. Students will develop the ability to evaluate alternatives and effectively argue in favor of their choices within the cloud computing knowledge domain. They will be able to define, apply, and defend the need for standards and best practices. Students will work within a project team following the principles of project management to design, build, and implement cloud applications.","30460","Winter","Enterprise Cloud Computing","None","536","IS"
"None","Database Administration","This course focuses on the technical concepts and managerial knowledge needed to define, integrate and govern centralized and distributed data for a wide range of application systems used at large, multinational corporations. Topics include data repository, data life cycle, DAMA-DMBOK, data stewardship, data asset valuation, enterprise data architecture, data modeling with meta-data, data security standards, master data, and data quality management.","30461","Spring","Enterprise Data Management","CSC 451","550","IS"
"None","CORE Enterprise Infrastructure","Introduction to modern infrastructure and the evolving technology environment. Major topics include: computer networks, Internet infrastructure, Web 2.0, Enterprise 2.0, social media and networking, software as a service, content management systems, cloud computing, and portal.","30462","Fall","Enterprise Infrastructure","None","424","ECT"
"None","CORE Enterprise Infrastructure","This course covers how an enterprise coordinates and effectively manages all its IT projects and programs through program management and the IT program management office. Students will learn the role of the IT program management office in establishing and maintaining the project and program infrastructure and in assisting project managers, program managers, and the executive steering committee. Students will analyze the role of program management in coordinating the delivery of expected program benefits, in managing stakeholder expectations, and in establishing program governance.","30463","Spring","Enterprise Project Management","IS 430","556","IS"
"None","CORE Enterprise Infrastructure","Formerly IS 450. This course is targeted towards information systems professionals who are involved in the planning and implementation of large scale, cross-functional enterprise systems. Students will examine the characteristics of technology efforts that change and transform the way people perform their tasks and how the new technology structures the flows of information and decision making using workflow modeling methods. Through case studies and exercises students gain insights into the elements of successful implementations leading to the preparation of a change management plan. Emphasis is placed on developing mechanisms for communicating and training all affected agents. ","30464","Fall","Enterprise System Implementation","IS 430","570","IS"
"None","CORE Enterprise Infrastructure","This course focuses on the application of financial analysis and decision-making approaches to aid information technology investment decisions at the operational, project, tactical and strategic levels. Students will learn how to apply a variety of financial methods -- breakeven analysis, present value analysis, profitability index, and return on investment to various IT investment decisions. The course will also address cost benefit analysis, outsourcing, balanced scorecard, and multi-factor scoring, benchmarking, and IT investment portfolio methods. These techniques will prepare students to manage capital budgets, acquisition of system and application software, hardware, personnel, and professional services at project and system levels as well as enterprise investment portfolio.","30465","Spring","Information Technology Investment Financial Analysis","IS 430","535","IS"
"None","Enterprise Infrastructure","Survey of information security management as it applies to information systems analysis, design, and operations. Managing information assets and the security infrastructure. Emphasis on managing security-related risk, as well as the process of developing, implementing, and maintaining organizational policies, standards, procedures, and guidelines. Identifying and evaluating information assets, threats, and vulnerabilities. Quantitative and qualitative risk analysis, risk mitigation, residual risk, and risk treatment as they relate to information security. Topics include information security vulnerabilities, threats, and risk management; security policies and standards; security audits; access controls; network perimeter protection, data protection; physical security; security education training and awareness. Introduction to compliance, as well as the CISSP domains.","30466","Fall","Information Security Management","None","440","CNS"
"None","Enterprise Infrastructure","This is an advanced course on the design and planning of enterprise architecture that enables intra-/multi-enterprise collaboration and interoperability. The emphasis is on the alignment between IT and organizational objectives through the integration of business architectures, data and information architecture, application architecture, technology architecture, interfaces and infrastructure. Topics include: frameworks, tools, and methodologies for enterprise architecture design; data and process modeling, application integration, implementation fundamentals, adaptability to changing organizational needs, and managing costs of implementation. Students will conduct case studies and develop architecture plans.","30467","Winter","Enterprise Architecture and Design","ECT 424","556","ECT"
"None","Enterprise Infrastructure","Study of the process of virtual teaming with emphasis on facilitation of different time project activities and facilitation of same time meetings. Students will learn how small group psychology and group communication theories inform specific behaviors in the design and leadership of meetings. Several meeting types including information briefing, focus group, document writing, decision making, requirements gathering, and teaching/training will be explored. In addition, the course surveys current collaboration technologies and discusses how to select among those technologies usability and fit to purpose of a meeting agenda. DL students may be required to schedule same time sessions with the instructor and other DL students; see current quarter syllabus for more information on this point.","30468","Spring","Collaborative Technologies for Leading Projects","None","440","IS"
"None","Enterprise Infrastructure","Management and boards continue to recognize the importance of effectively managing information technology (IT) assets - to meet business objectives and to thoughtfully manage IT related business risks. This course examines the key principles related to auditing information technology processes and related controls and is designed to meet the ever increasing needs of IT audit and IT governance professionals. In addition, this course aids in the preparation for the Certified Information Systems Auditor (CISA) exam.","30469","Fall","IT Auditing","None","444","IS"
"None","Enterprise Infrastructure","This course examines the legal standards to which people and organizations are held under laws and regulations that concern computing and information technology. This course is a complement to CNS 477, which focuses on governance policies and business costs. Topics include government and laws, business regulations, healthcare regulations, education regulations, data breach reporting and notification, privacy laws, laws of search and seizure, freedom of speech and association, defamation, cyber crimes, contracts, and intellectual property. ","30470","Winter","Legal Responsibilities in Information Technology","None","482","IS"
"None","Enterprise Infrastructure","This course focuses on the operational aspects of information systems in organizations by examining the concepts, tools and techniques available to IS professionals responsible for the delivery of IT services. Topics include the organization of the IT services; the procurement of hardware, software and vendor services; operation of data centers, help desks and user training, the development and use of RFPs (Request for Proposals) and SLAs (Service Level Agreements), the integration of services and operations with application development project needs, and the role of capital and operating budgets.","30471","Winter","Information Services and Operations","None","483","IS"
"None","Enterprise Infrastructure","Managing people ethically and effectively by applying a broad range of creative approaches to individual and team leadership within an Information Technology context. Leadership methods studied include trait-based, skills-based, situational, contingency theory, path-goal theory, leader-member exchange theory, transformational, psychodynamic, and authentic leadership, as well as team leadership and the international, cultural, and ethical dimensions of leadership. Students assess their leadership styles and design individualized development plans to strengthen existing skills and expand IT leadership capabilities by incorporating additional leadership dimensions","30472","Spring","Information Technology Leadership","IS 430","500","IS"
"None","Enterprise Infrastructure","This course focuses on the knowledge necessary for an organization to prepare for a variety of major disruptions (floods, earthquakes, terrorist attacks, etc.). The goal is survival of the organization and its daily workflow despite major disruption. Students learn to analyze and prioritize risks and determine criticality ratings that are used to determine survival strategies. Students also learn how to organize employees to respond to a major disruption and how to document recovery plans. Course content includes coverage of current industry trends, as well as planning for the survival of Information Technology functions within an organization.","30473","Winter","Business Continuity/Disaster Recovery Theories and Strategies","None","505","IS"
"None","Enterprise Infrastructure","The course prepares students to lead an organization's business continuity and disaster recovery plans. Students learn the methodology needed to organize this function within an organization, evaluate an organization's business continuity and disaster recovery program according to established industry standards, and conduct a variety of quick-recovery drills. Students also focus upon industry-related human resources issues, crisis communications, and policies and procedures for setting up a command center. Course content includes coverage of current industry trends, as well as managing the survival of Information Technology functions within an organization.","30474","Spring","Business Continuity/Disaster Recovery Management and Tactics","IS 505","506","IS"
"None","Enterprise Infrastructure","Cloud concepts, architecture, and service management, with particular emphasis upon identifying and analyzing potential business applications of cloud computing. Students will conduct feasibility studies, detailing the advantages and disadvantages of implementing a cloud computing platform for specific applications, with particular emphasis upon financial considerations, business benefits, and security risks. Students will develop the ability to evaluate alternatives and effectively argue in favor of their choices within the cloud computing knowledge domain. They will be able to define, apply, and defend the need for standards and best practices. Students will work within a project team following the principles of project management to design, build, and implement cloud applications.","30475","Winter","Enterprise Cloud Computing","None","536","IS"
"None","Enterprise Infrastructure","A study of the hardware, software, and techniques for using virtual information technologies to support teams working in a distributed, virtual, or global environments. Topics include software survey and evaluation, software deployment within organizational and trans-organizational contexts, trans-national vendor relationships, trans-border data flow, geographically dispersed software development, and integration of diverse technologies.","30476","Winter","Global Information Technology","None","540","IS"
"None","Enterprise Infrastructure","This course focuses on the technical concepts and managerial knowledge needed to define, integrate and govern centralized and distributed data for a wide range of application systems used at large, multinational corporations. Topics include data repository, data life cycle, DAMA-DMBOK, data stewardship, data asset valuation, enterprise data architecture, data modeling with meta-data, data security standards, master data, and data quality management.","30477","Spring","Enterprise Data Management","CSC 451 or CSC 453 or CSC 455","550","IS"
"None","Enterprise Infrastructure","An introduction to enterprise systems for data and process integration, including ERP systems. Topics include the requirements of enterprise systems, application architecture, tools, and functionality of leading enterprise systems, life cycle and methodologies for systems integration, selection, and implementation strategies. Also addressed are emerging trends for enterprise systems and relationship among component systems.","30478","Spring","Enterprise Systems","None","560","IS"
"None","Enterprise Infrastructure","The course focuses on how organizations can use leverage of scale as a source for cost reduction; leverage of expertise for improved superior IT performance; leverage of access (e.g. location) to develop new strategies. Other topics covered include different types of sourcing strategies, sourcing maturity levels and best practices. ","30479","Fall","IT Outsourcing","None","565","IS"
"None","Enterprise Infrastructure","Application of project management principles, tools, and techniques to a virtual software development project; management of virtual software teams; planning, executing the plan, monitoring and controlling the development process. Work with project office (PMO) to set templates for reporting and common processes and standards; set milestones and their deliverables; establish communication medium for the virtual team.","30480","Fall","Virtual Software Teams Management","IS 430","579","IS"
"None","Enterprise Infrastructure","In-depth examination of the entrepreneurial process within technology intensive ventures. Roles of entrepreneurs and their start-up teams. Suitable business models and strategies. Legal issues and intellectual property. Financial issues and venture resources. Role of the customer and entrepreneurial marketing. Students will analyze and present case studies of technology entrepreneurial ventures. Students will develop a marketing plan and a business plan for a technology-intensive entrepreneurial venture of their choice.","30481","Fall","Technology Entrepreneurship","None","580","IS"
